Indicator,Country,Date,value
Cumulative number of suspected Ebola cases,Nigeria,2014-09-12,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-12,21
Cumulative number of confirmed Ebola cases,Senegal,2014-09-12,1
Cumulative number of probable  Ebola cases,Senegal,2014-09-12,0
Cumulative number of suspected Ebola cases,Senegal,2014-09-12,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-12,3
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-09-12,285
Number of probable Ebola cases in the last 21 days,Guinea,2014-09-12,12
Number of suspected Ebola cases in the last 21 days,Guinea,2014-09-12,27
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-09-12,324
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-09-12,394
Number of probable Ebola cases in the last 21 days,Liberia,2014-09-12,506
Number of suspected Ebola cases in the last 21 days,Liberia,2014-09-12,286
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-09-12,1186
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-09-12,518
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-09-12,3
Number of suspected Ebola cases in the last 21 days,Sierra Leone,2014-09-12,65
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-09-12,586
Number of confirmed Ebola cases in the last 21 days,Nigeria,2014-09-12,7
Number of probable Ebola cases in the last 21 days,Nigeria,2014-09-12,1
Number of suspected Ebola cases in the last 21 days,Nigeria,2014-09-12,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-09-12,9
Number of confirmed Ebola cases in the last 21 days,Senegal,2014-09-12,1
Number of probable Ebola cases in the last 21 days,Senegal,2014-09-12,0
Number of suspected Ebola cases in the last 21 days,Senegal,2014-09-12,2
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,2014-09-12,3
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,2014-09-12,42
Proportion of probable Ebola cases that are from the last 21 days,Guinea,2014-09-12,8
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,2014-09-12,84
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-09-12,38
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,2014-09-12,60
Proportion of probable Ebola cases that are from the last 21 days,Liberia,2014-09-12,52
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,2014-09-12,63
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-09-12,57
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,2014-09-12,40
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,2014-09-12,8
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,2014-09-12,65
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,2014-09-12,41
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,2014-09-12,36.8
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,2014-09-12,100
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,2014-09-12,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-12,42.9
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,2014-09-12,100
Proportion of probable Ebola cases that are from the last 21 days,Senegal,2014-09-12,0
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,2014-09-12,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,2014-09-12,100
Cumulative number of confirmed Ebola deaths,Guinea,2014-09-12,403
Cumulative number of probable  Ebola deaths,Guinea,2014-09-12,150
Cumulative number of suspected Ebola deaths,Guinea,2014-09-12,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-12,557
Cumulative number of confirmed Ebola deaths,Liberia,2014-09-12,498
Cumulative number of probable  Ebola deaths,Liberia,2014-09-12,428
Cumulative number of suspected Ebola deaths,Liberia,2014-09-12,211
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-12,1137
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-09-12,478
Cumulative number of probable  Ebola deaths,Sierra Leone,2014-09-12,34
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-09-12,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-09-12,524
Cumulative number of confirmed Ebola deaths,Nigeria,2014-09-12,7
Cumulative number of probable  Ebola deaths,Nigeria,2014-09-12,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-09-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-12,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-09-12,0
Cumulative number of probable  Ebola deaths,Senegal,2014-09-12,0
Cumulative number of suspected Ebola deaths,Senegal,2014-09-12,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-12,0
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,2014-09-12,59
Case fatality rate (CFR) of probable  Ebola cases,Guinea,2014-09-12,99
Case fatality rate (CFR) of suspected Ebola cases,Guinea,2014-09-12,12
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,2014-09-12,65
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,2014-09-12,76
Case fatality rate (CFR) of probable  Ebola cases,Liberia,2014-09-12,44
Case fatality rate (CFR) of suspected Ebola cases,Liberia,2014-09-12,47
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,2014-09-12,55
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,2014-09-12,37
Case fatality rate (CFR) of probable  Ebola cases,Sierra Leone,2014-09-12,92
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,2014-09-12,12
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-12,37
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,2014-09-12,37
Case fatality rate (CFR) of probable  Ebola cases,Nigeria,2014-09-12,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,2014-09-12,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-12,38
Case fatality rate (CFR) of confirmed Ebola cases,Senegal,2014-09-12,0
Case fatality rate (CFR) of probable  Ebola cases,Senegal,2014-09-12,0
Case fatality rate (CFR) of suspected Ebola cases,Senegal,2014-09-12,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Senegal,2014-09-12,0
Cumulative number of confirmed Ebola cases,Guinea,2014-09-16,743
Cumulative number of probable  Ebola cases,Guinea,2014-09-16,162
Cumulative number of suspected Ebola cases,Guinea,2014-09-16,31
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-16,936
Cumulative number of confirmed Ebola cases,Liberia,2014-09-16,790
Cumulative number of probable  Ebola cases,Liberia,2014-09-16,1078
Cumulative number of suspected Ebola cases,Liberia,2014-09-16,539
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-16,2407
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-09-16,1464
Cumulative number of probable  Ebola cases,Sierra Leone,2014-09-16,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-09-16,119
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-16,1620
Cumulative number of confirmed Ebola cases,Nigeria,2014-09-16,19
Cumulative number of probable  Ebola cases,Nigeria,2014-09-16,1
Cumulative number of suspected Ebola cases,Nigeria,2014-09-16,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-16,21
Cumulative number of confirmed Ebola cases,Senegal,2014-09-16,1
Cumulative number of probable  Ebola cases,Senegal,2014-09-16,0
Cumulative number of suspected Ebola cases,Senegal,2014-09-16,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-16,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-09-16,276
Number of probable Ebola cases in the last 21 days,Guinea,2014-09-16,21
Number of suspected Ebola cases in the last 21 days,Guinea,2014-09-16,11
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-09-16,308
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-09-16,546
Number of probable Ebola cases in the last 21 days,Liberia,2014-09-16,539
Number of suspected Ebola cases in the last 21 days,Liberia,2014-09-16,298
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-09-16,1383
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-09-16,583
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-09-16,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,2014-09-16,70
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-09-16,653
Number of confirmed Ebola cases in the last 21 days,Nigeria,2014-09-16,6
Number of probable Ebola cases in the last 21 days,Nigeria,2014-09-16,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-09-16,6
Number of confirmed Ebola cases in the last 21 days,Senegal,2014-09-16,1
Number of probable Ebola cases in the last 21 days,Senegal,2014-09-16,0
Number of suspected Ebola cases in the last 21 days,Senegal,2014-09-16,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,2014-09-16,1
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,2014-09-16,37
Proportion of probable Ebola cases that are from the last 21 days,Guinea,2014-09-16,13
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,2014-09-16,35
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-09-16,33
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,2014-09-16,69
Proportion of probable Ebola cases that are from the last 21 days,Liberia,2014-09-16,50
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,2014-09-16,55
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-09-16,57
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,2014-09-16,40
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,2014-09-16,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,2014-09-16,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,2014-09-16,40
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,2014-09-16,32
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,2014-09-16,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-16,29
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,2014-09-16,100
Proportion of probable Ebola cases that are from the last 21 days,Senegal,2014-09-16,0
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,2014-09-16,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,2014-09-16,100
Cumulative number of confirmed Ebola deaths,Guinea,2014-09-16,429
Cumulative number of probable  Ebola deaths,Guinea,2014-09-16,162
Cumulative number of suspected Ebola deaths,Guinea,2014-09-16,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-16,595
Cumulative number of confirmed Ebola deaths,Liberia,2014-09-16,563
Cumulative number of probable  Ebola deaths,Liberia,2014-09-16,472
Cumulative number of suspected Ebola deaths,Liberia,2014-09-16,261
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-16,1296
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-09-16,514
Cumulative number of probable  Ebola deaths,Sierra Leone,2014-09-16,37
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-09-16,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-09-16,562
Cumulative number of confirmed Ebola deaths,Nigeria,2014-09-16,7
Cumulative number of probable  Ebola deaths,Nigeria,2014-09-16,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-09-16,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-16,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-09-16,0
Cumulative number of probable  Ebola deaths,Senegal,2014-09-16,0
Cumulative number of suspected Ebola deaths,Senegal,2014-09-16,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-16,0
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,2014-09-16,58
Case fatality rate (CFR) of probable  Ebola cases,Guinea,2014-09-16,100
Case fatality rate (CFR) of suspected Ebola cases,Guinea,2014-09-16,13
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,2014-09-16,64
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,2014-09-16,71
Case fatality rate (CFR) of probable  Ebola cases,Liberia,2014-09-16,44
Case fatality rate (CFR) of suspected Ebola cases,Liberia,2014-09-16,48
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,2014-09-16,54
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,2014-09-16,35
Case fatality rate (CFR) of probable  Ebola cases,Sierra Leone,2014-09-16,100
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,2014-09-16,9
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-16,35
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,2014-09-16,37
Case fatality rate (CFR) of probable  Ebola cases,Nigeria,2014-09-16,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,2014-09-16,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-16,38
Case fatality rate (CFR) of confirmed Ebola cases,Senegal,2014-09-16,0
Case fatality rate (CFR) of probable  Ebola cases,Senegal,2014-09-16,0
Case fatality rate (CFR) of suspected Ebola cases,Senegal,2014-09-16,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Senegal,2014-09-16,0
Cumulative number of confirmed Ebola cases,Guinea,2014-09-18,750
Cumulative number of probable  Ebola cases,Guinea,2014-09-18,162
Cumulative number of suspected Ebola cases,Guinea,2014-09-18,30
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-18,942
Cumulative number of confirmed Ebola cases,Liberia,2014-09-18,812
Cumulative number of probable  Ebola cases,Liberia,2014-09-18,1233
Cumulative number of suspected Ebola cases,Liberia,2014-09-18,675
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-18,2710
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-09-18,1513
Cumulative number of probable  Ebola cases,Sierra Leone,2014-09-18,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-09-18,123
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-18,1673
Cumulative number of confirmed Ebola cases,Nigeria,2014-09-18,19
Cumulative number of probable  Ebola cases,Nigeria,2014-09-18,1
Cumulative number of suspected Ebola cases,Nigeria,2014-09-18,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-18,21
Cumulative number of confirmed Ebola cases,Senegal,2014-09-18,1
Cumulative number of probable  Ebola cases,Senegal,2014-09-18,0
Cumulative number of suspected Ebola cases,Senegal,2014-09-18,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-18,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-09-18,266
Number of probable Ebola cases in the last 21 days,Guinea,2014-09-18,21
Number of suspected Ebola cases in the last 21 days,Guinea,2014-09-18,25
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-09-18,312
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-09-18,462
Number of probable Ebola cases in the last 21 days,Liberia,2014-09-18,596
Number of suspected Ebola cases in the last 21 days,Liberia,2014-09-18,398
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-09-18,1429
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-09-18,585
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-09-18,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,2014-09-18,69
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-09-18,653
Number of confirmed Ebola cases in the last 21 days,Nigeria,2014-09-18,5
Number of probable Ebola cases in the last 21 days,Nigeria,2014-09-18,0
Number of suspected Ebola cases in the last 21 days,Nigeria,2014-09-18,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-09-18,6
Number of confirmed Ebola cases in the last 21 days,Senegal,2014-09-18,1
Number of probable Ebola cases in the last 21 days,Senegal,2014-09-18,0
Number of suspected Ebola cases in the last 21 days,Senegal,2014-09-18,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,2014-09-18,1
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,2014-09-18,36
Proportion of probable Ebola cases that are from the last 21 days,Guinea,2014-09-18,13
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,2014-09-18,83
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-09-18,33
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,2014-09-18,57
Proportion of probable Ebola cases that are from the last 21 days,Liberia,2014-09-18,46
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,2014-09-18,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-09-18,52
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,2014-09-18,39
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,2014-09-18,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,2014-09-18,56
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,2014-09-18,39
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,2014-09-18,26
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,2014-09-18,0
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,2014-09-18,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-18,29
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,2014-09-18,100
Proportion of probable Ebola cases that are from the last 21 days,Senegal,2014-09-18,0
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,2014-09-18,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,2014-09-18,100
Cumulative number of confirmed Ebola deaths,Guinea,2014-09-18,435
Cumulative number of probable  Ebola deaths,Guinea,2014-09-18,161
Cumulative number of suspected Ebola deaths,Guinea,2014-09-18,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-18,601
Cumulative number of confirmed Ebola deaths,Liberia,2014-09-18,631
Cumulative number of probable  Ebola deaths,Liberia,2014-09-18,518
Cumulative number of suspected Ebola deaths,Liberia,2014-09-18,310
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-18,1459
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-09-18,517
Cumulative number of probable  Ebola deaths,Sierra Leone,2014-09-18,34
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-09-18,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-09-18,562
Cumulative number of confirmed Ebola deaths,Nigeria,2014-09-18,7
Cumulative number of probable  Ebola deaths,Nigeria,2014-09-18,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-09-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-18,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-09-18,0
Cumulative number of probable  Ebola deaths,Senegal,2014-09-18,0
Cumulative number of suspected Ebola deaths,Senegal,2014-09-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-18,0
Cumulative number of confirmed Ebola cases,Guinea,2014-09-22,818
Cumulative number of probable  Ebola cases,Guinea,2014-09-22,162
Cumulative number of suspected Ebola cases,Guinea,2014-09-22,28
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-22,1008
Cumulative number of confirmed Ebola cases,Liberia,2014-09-22,863
Cumulative number of probable  Ebola cases,Liberia,2014-09-22,1342
Cumulative number of suspected Ebola cases,Liberia,2014-09-22,817
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-22,3022
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-09-22,1640
Cumulative number of probable  Ebola cases,Sierra Leone,2014-09-22,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-09-22,136
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-22,1813
Cumulative number of confirmed Ebola cases,Nigeria,2014-09-22,19
Cumulative number of probable  Ebola cases,Nigeria,2014-09-22,1
Cumulative number of suspected Ebola cases,Nigeria,2014-09-22,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-22,20
Cumulative number of confirmed Ebola cases,Senegal,2014-09-22,1
Cumulative number of probable  Ebola cases,Senegal,2014-09-22,0
Cumulative number of suspected Ebola cases,Senegal,2014-09-22,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-22,1
Cumulative number of confirmed Ebola deaths,Guinea,2014-09-22,465
Cumulative number of probable  Ebola deaths,Guinea,2014-09-22,162
Cumulative number of suspected Ebola deaths,Guinea,2014-09-22,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-22,632
Cumulative number of confirmed Ebola deaths,Liberia,2014-09-22,670
Cumulative number of probable  Ebola deaths,Liberia,2014-09-22,544
Cumulative number of suspected Ebola deaths,Liberia,2014-09-22,364
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-22,1578
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-09-22,545
Cumulative number of probable  Ebola deaths,Sierra Leone,2014-09-22,37
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-09-22,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-09-22,593
Cumulative number of confirmed Ebola deaths,Nigeria,2014-09-22,7
Cumulative number of probable  Ebola deaths,Nigeria,2014-09-22,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-09-22,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-22,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-09-22,0
Cumulative number of probable  Ebola deaths,Senegal,2014-09-22,0
Cumulative number of suspected Ebola deaths,Senegal,2014-09-22,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-22,0
Cumulative number of confirmed Ebola cases,Guinea,2014-09-24,832
Cumulative number of probable  Ebola cases,Guinea,2014-09-24,162
Cumulative number of suspected Ebola cases,Guinea,2014-09-24,28
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-24,1022
Cumulative number of confirmed Ebola cases,Liberia,2014-09-24,890
Cumulative number of probable  Ebola cases,Liberia,2014-09-24,1469
Cumulative number of suspected Ebola cases,Liberia,2014-09-24,921
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-24,3280
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-09-24,1745
Cumulative number of probable  Ebola cases,Sierra Leone,2014-09-24,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-09-24,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-24,1940
Cumulative number of confirmed Ebola cases,Nigeria,2014-09-24,19
Cumulative number of probable  Ebola cases,Nigeria,2014-09-24,1
Cumulative number of suspected Ebola cases,Nigeria,2014-09-24,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-24,20
Cumulative number of confirmed Ebola cases,Senegal,2014-09-24,1
Cumulative number of probable  Ebola cases,Senegal,2014-09-24,0
Cumulative number of suspected Ebola cases,Senegal,2014-09-24,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-24,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-09-24,256
Number of probable Ebola cases in the last 21 days,Guinea,2014-09-24,14
Number of suspected Ebola cases in the last 21 days,Guinea,2014-09-24,22
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-09-24,292
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-09-24,469
Number of probable Ebola cases in the last 21 days,Liberia,2014-09-24,648
Number of suspected Ebola cases in the last 21 days,Liberia,2014-09-24,590
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-09-24,1707
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-09-24,644
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-09-24,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,2014-09-24,93
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-09-24,737
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,2014-09-24,31
Proportion of probable Ebola cases that are from the last 21 days,Guinea,2014-09-24,9
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,2014-09-24,79
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-09-24,29
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,2014-09-24,53
Proportion of probable Ebola cases that are from the last 21 days,Liberia,2014-09-24,44
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,2014-09-24,64
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-09-24,52
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,2014-09-24,37
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,2014-09-24,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,2014-09-24,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,2014-09-24,38
Cumulative number of confirmed Ebola deaths,Guinea,2014-09-24,468
Cumulative number of probable  Ebola deaths,Guinea,2014-09-24,162
Cumulative number of suspected Ebola deaths,Guinea,2014-09-24,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-24,635
Cumulative number of confirmed Ebola deaths,Liberia,2014-09-24,671
Cumulative number of probable  Ebola deaths,Liberia,2014-09-24,593
Cumulative number of suspected Ebola deaths,Liberia,2014-09-24,413
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-24,1677
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-09-24,552
Cumulative number of probable  Ebola deaths,Sierra Leone,2014-09-24,34
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-09-24,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-09-24,597
Cumulative number of confirmed Ebola deaths,Nigeria,2014-09-24,7
Cumulative number of probable  Ebola deaths,Nigeria,2014-09-24,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-09-24,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-24,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-09-24,0
Cumulative number of probable  Ebola deaths,Senegal,2014-09-24,0
Cumulative number of suspected Ebola deaths,Senegal,2014-09-24,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-24,0
Cumulative number of confirmed Ebola cases,Guinea,2014-09-26,876
Cumulative number of probable  Ebola cases,Guinea,2014-09-26,162
Cumulative number of suspected Ebola cases,Guinea,2014-09-26,36
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-26,1074
Cumulative number of confirmed Ebola cases,Liberia,2014-09-26,914
Cumulative number of probable  Ebola cases,Liberia,2014-09-26,1539
Cumulative number of suspected Ebola cases,Liberia,2014-09-26,1005
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-26,3458
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-09-26,1816
